"Scene","Character","Cleaned_Sayings"
"Scene_37:_The_True_Villain","Nick Wilde","I'm not gonna leave you behind; that's not happening."
"Scene_37:_The_True_Villain","Judy Hopps","I can't walk!"
"Scene_37:_The_True_Villain","Nick Wilde","Just... We'll think of something."
"Scene_37:_The_True_Villain","Dawn Bellwether","We're on the same team, Judy! Underestimated, underappreciated... Aren't you sick of it? Predators - they may be strong and loud, but prey outnumber predators ten-to-one. Think of it - 90% of the population united against a common enemy. We'll be unstoppable."
"Scene_37:_The_True_Villain","Dawn Bellwether:","Dawn Bellwether: Over there!"
"Scene_37:_The_True_Villain","Dawn Bellwether","Well, you should have just stayed on the carrot farm, huh? It really is too bad, I... I did like you."
"Scene_37:_The_True_Villain","Judy Hopps","What are you gonna do? Kill me?"
"Scene_37:_The_True_Villain","Dawn Bellwether","Oh, no, of course not, ha ha. He is!"
"Scene_37:_The_True_Villain","Judy Hopps","No! Oh, Nick!"
"Scene_37:_The_True_Villain","Dawn Bellwether","Yes, police?! There's a savage fox in the Natural History Museum! Officer Hopps is down! Please hurry!"
"Scene_37:_The_True_Villain","Judy Hopps","No, Nick! Don't do this; fight it!"
"Scene_37:_The_True_Villain","Dawn Bellwether","Oh, but he can't help it, can he? Since preds are just ""biologically predisposed"" to be savages."
"Scene_37:_The_True_Villain","Dawn Bellwether","Gosh, think of the headlines! ""Hero Cop Killed by Savage Fox!"""
"Scene_37:_The_True_Villain","Judy Hopps","So that's it? Prey fears predators and you stay in power?"
"Scene_37:_The_True_Villain","Dawn Bellwether","Yeah, pretty much."
"Scene_37:_The_True_Villain","Judy Hopps","It won't work!"
"Scene_37:_The_True_Villain","Dawn Bellwether","Fear always works! And I'll dart every predator in Zootopia to keep it that way."
"Scene_37:_The_True_Villain","Judy Hopps","Oh, Nick... no..."
"Scene_37:_The_True_Villain","Dawn Bellwether","Bye-bye, Bunny."
"Scene_37:_The_True_Villain","Judy Hopps","Bleeeeeeh! Blood! Blood! Blood! And... death."
"Scene_37:_The_True_Villain","Nick Wilde","All right, you know, you're milking it. Besides, I think we got it. I think we got it! We got it up there! Thank you, yackety-yak! You laid it all out beautifully!"
"Scene_37:_The_True_Villain","Dawn Bellwether","What?"
"Scene_37:_The_True_Villain","Nick Wilde","Yeah, oh, are, are you looking for the serum? Well, it's right here."
"Scene_37:_The_True_Villain","Judy Hopps","What you've got in the weapon there? Those are blueberries. From my family's farm!"
"Scene_37:_The_True_Villain","Nick Wilde","Mwah! They are delicious, you should try some."
"Scene_37:_The_True_Villain","Dawn Bellwether","I framed Lionheart, I can frame you too! It's my word against yours."
"Scene_37:_The_True_Villain","Judy Hopps","Ooh! Actually..."
"Scene_37:_The_True_Villain","Dawn Bellwether's voice","And I'll dart every predator in Zootopia to keep it that way."
"Scene_37:_The_True_Villain","Judy Hopps","...it's your word against yours."
"Scene_37:_The_True_Villain","Dawn Bellwether","Huh?"
"Scene_37:_The_True_Villain","Judy Hopps","It's called a hustle, sweetheart. Boom."
"Scene_38:_Judy's_Speech","Fabienne Growley","Former Mayor Dawn Bellwether is behind bars today, guilty of masterminding the savage attacks that have plagued Zootopia of late."
"Scene_38:_Judy's_Speech","Peter Moosebridge","Her predecessor, Leodore Lionheart, denies any knowledge of her plot, claiming he was just trying to protect the city."
"Scene_38:_Judy's_Speech","Leodore Lionheart","Did I falsely imprison those animals? Well, yes. Yes, I did. It was a classic ""doing the wrong thing for the right reason"" kind of a deal."
"Scene_38:_Judy's_Speech","Fabienne Growley","In related news, doctors say the Night howler antidote is proving effective in rehabilitating the afflicted predators."
"Scene_38:_Judy's_Speech","Mrs. Otterton","Emmitt? Oh, Emmitt! Thank you."
"Scene_38:_Judy's_Speech","Judy Hopps","When I was a kid, I thought Zootopia was this perfect place, where everyone got along and anyone could be anything. Turns out, real life is a little bit more complicated than a slogan on a bumper sticker. Real life is messy. We all have limitations, we all make mistakes, which means - hey, glass half full! - we all have a lot in common. And the more we try to understand one another, the more exceptional each of us will be. But we have to try. So no matter what type of animal you are; from the biggest elephant, to our first fox, I implore you - try. Try to make the world a better place. Look inside yourself and recognize that change starts with you. It starts with me. It starts with all of us."
"Scene_39:_Return_to_the_Bullpen","Chief Bogo","All right, all right, enough. Shut it! We have some new recruits with us this morning, including our first fox. Who cares?"
"Scene_39:_Return_to_the_Bullpen","Nick Wilde","Ha! You should have your own line of inspirational greeting cards, sir!"
"Scene_39:_Return_to_the_Bullpen","Chief Bogo","Shut your mouth, Wilde!"
"Scene_39:_Return_to_the_Bullpen","Chief Bogo","Assignments: Officers Grizzoli, Fangmeyer, Delgato - Tundratown SWAT. Snarlov, Higgins, Wolfard - undercover. Hopps, Wilde... parking duty. Dismissed. Just kidding! We have reports of a street racer tearing up Savannah Central. Find him. Shut him down."
"Scene_40:_The_Street_Racer","Nick Wilde","So, are all rabbits bad drivers, or is it just you?"
"Scene_40:_The_Street_Racer","Judy Hopps","Oops. Sorry."
"Scene_40:_The_Street_Racer","Nick Wilde","Sly bunny."
"Scene_40:_The_Street_Racer","Judy Hopps","Dumb fox!"
"Scene_40:_The_Street_Racer","Nick Wilde","You know you love me."
"Scene_40:_The_Street_Racer","Judy Hopps","Do I know that? Yes. Yes, I do."
"Scene_40:_The_Street_Racer","Judy Hopps","Sir, you were going 115 miles per hour, I hope you have a good explanation."
"Scene_40:_The_Street_Racer","Nick Wilde","Flash, Flash, hundred-yard dash!"
"Scene_40:_The_Street_Racer","Flash Slothmore","Niiiick..."
"Scene_41:_Gazelle's_Concert","Gazelle","Good evening, Zootopia! Come on, everybody, put your paws up!"
"Scene_41:_Gazelle's_Concert","Gazelle","Put your paws in the air, come on! ¡Con las pezuñas arriba, vamos! ¡Eso!"
"Scene_41:_Gazelle's_Concert","Gazelle","¡Con las pezuñas arriba! Come on! Shake your tails with me, come on! Yeah!"
